step	id	x	y	degree	com_id	cos_score	com_size	cc_size	metadata	color
206.0	left.78	732.65	498.35	12.0	947	1.0	18.0	58.0	regular	#536878
206.0	left.74	827.78	498.35	14.0	947	0.95	18.0	58.0	regular	#536878
206.0	top.78	495.05	513.27	28.0	1127	1.0	1.0	58.0	regular	#0247FE
206.0	left.81	659.59	498.35	31.0	947	0.95	18.0	58.0	regular	#536878
206.0	bottom.78	504.95	486.65	27.0	975	0.9	18.0	58.0	regular	#8CBED6
206.0	left.82	640.68	498.35	31.0	947	0.95	18.0	58.0	regular	#536878
206.0	bottom.82	504.95	458.63	27.0	1121	1.0	1.0	58.0	regular	#A2A2D0
206.0	bottom.80	504.95	472.64	27.0	1126	1.0	1.0	58.0	regular	#6699CC
206.0	left.80	684.58	498.35	29.0	947	0.95	18.0	58.0	regular	#536878
206.0	bottom.86	501.65	242.59	2.0	1027	0.9	7.0	58.0	regular	#B2FFFF
206.0	right.80	332.84	501.65	30.0	975	0.85	18.0	58.0	regular	#8CBED6
206.0	top.87	498.35	925.81	3.0	1091	0.95	4.0	58.0	regular	#E0218A
206.0	left.83	486.65	495.05	28.0	947	0.9	18.0	58.0	regular	#536878
206.0	right.85	631.99	504.95	30.0	975	0.95	18.0	58.0	regular	#8CBED6
206.0	top.79	495.05	520.27	28.0	1122	1.0	1.0	58.0	regular	#0D98BA
206.0	bottom.85	504.95	386.98	25.0	1027	0.95	7.0	58.0	regular	#B2FFFF
206.0	top.84	495.05	555.29	28.0	1097	0.95	3.0	58.0	regular	#CAE00D
206.0	left.87	156.17	498.35	11.0	947	0.75	18.0	58.0	regular	#536878
206.0	top.83	495.05	548.28	28.0	1125	1.0	1.0	58.0	regular	#126180
206.0	bottom.83	504.95	451.63	27.0	1123	1.0	1.0	58.0	regular	#8A2BE2
206.0	left.88	72.84	498.35	8.0	947	0.75	18.0	58.0	regular	#536878
206.0	bottom.87	501.65	44.53	3.0	1027	0.85	7.0	58.0	regular	#B2FFFF
206.0	right.75	209.13	501.65	14.0	975	0.8	18.0	58.0	regular	#8CBED6
206.0	left.75	803.83	498.35	14.0	947	0.95	18.0	58.0	regular	#536878
206.0	left.79	711.25	498.35	14.0	947	0.95	18.0	58.0	regular	#536878
206.0	left.85	371.44	495.05	30.0	947	0.85	18.0	58.0	regular	#536878
206.0	right.87	833.71	501.65	13.0	975	0.95	18.0	58.0	regular	#8CBED6
206.0	bottom.79	504.95	479.65	27.0	1027	1.0	7.0	58.0	regular	#B2FFFF
206.0	top.85	495.05	629.93	24.0	1097	0.95	3.0	58.0	regular	#CAE00D
206.0	right.76	232.46	501.65	13.0	975	0.8	18.0	58.0	regular	#8CBED6
206.0	left.76	782.86	498.35	13.0	947	0.95	18.0	58.0	regular	#536878
206.0	right.88	934.9	501.65	8.0	975	0.95	18.0	58.0	regular	#8CBED6
206.0	right.77	253.98	501.65	13.0	975	0.8	18.0	58.0	regular	#8CBED6
206.0	top.88	498.35	966.46	3.0	1091	0.95	4.0	58.0	regular	#E0218A
206.0	right.83	513.35	504.95	28.0	975	0.9	18.0	58.0	regular	#8CBED6
206.0	bottom.84	504.95	444.57	27.0	1027	0.95	7.0	58.0	regular	#B2FFFF
206.0	top.86	498.35	801.3	4.0	1091	0.95	4.0	58.0	regular	#E0218A
206.0	right.79	304.13	501.65	21.0	975	0.8	18.0	58.0	regular	#8CBED6
206.0	right.73	150.79	501.65	11.0	975	0.8	18.0	58.0	regular	#8CBED6
206.0	left.73	848.51	498.35	12.0	947	0.95	18.0	58.0	regular	#536878
206.0	right.74	173.87	501.65	13.0	975	0.8	18.0	58.0	regular	#8CBED6
206.0	right.81	359.23	501.65	30.0	975	0.85	18.0	58.0	regular	#8CBED6
206.0	bottom.81	504.95	465.64	27.0	1124	1.0	1.0	58.0	regular	#5072A7
206.0	right.82	378.26	501.65	29.0	975	0.85	18.0	58.0	regular	#8CBED6
206.0	right.86	740.28	504.95	13.0	975	1.0	18.0	58.0	regular	#8CBED6
206.0	left.77	754.48	498.35	13.0	947	0.95	18.0	58.0	regular	#536878
206.0	right.84	521.07	504.95	28.0	975	0.9	18.0	58.0	regular	#8CBED6
206.0	right.78	280.27	501.65	13.0	975	0.8	18.0	58.0	regular	#8CBED6
206.0	top.80	495.05	527.27	28.0	1097	1.0	3.0	58.0	regular	#CAE00D
206.0	top.82	495.05	541.28	28.0	1120	1.0	1.0	58.0	regular	#4F86F7
206.0	top.81	495.05	534.27	28.0	947	0.9	18.0	58.0	regular	#536878
206.0	left.86	246.42	498.35	13.0	947	0.8	18.0	58.0	regular	#536878
206.0	left.84	478.4	495.05	28.0	947	0.9	18.0	58.0	regular	#536878
206.0	bottom.88	501.65	17.15	2.0	1027	0.8	7.0	58.0	regular	#B2FFFF
206.0	left.89	13.0	498.35	5.0	947	0.7	18.0	58.0	regular	#536878
206.0	right.89	985.62	501.65	5.0	975	0.9	18.0	58.0	regular	#8CBED6
206.0	top.89	498.35	990.01	3.0	1091	1.0	4.0	58.0	regular	#E0218A
206.0	bottom.89	501.65	5.56	2.0	1027	0.8	7.0	58.0	regular	#B2FFFF
